,acronym,synaptome_idx,ontology,region_id,major_region
72,AUDv4,"[192, 324]",137,990,Isocortex
73,ORBm5,[51],238,620,Isocortex
74,OT1,[597],504,458,STR
75,TTv2,[405],342,1075,OLF
76,MOs5,"[49, 133, 214]",25,767,Isocortex
77,AUDv2/3,"[191, 303]",136,755,Isocortex
78,CP,"[605, 609]",496,672,STR
79,MH,[629],625,483,TH
80,VISam2/3,[312],157,1066,Isocortex
81,DG-mo,"[484, 486, 488, 529, 531, 533]",408,10703,HPF
82,ACAd6a,"[63, 79]",200,919,Isocortex
83,LC,[700],815,147,P
84,CM,[617],613,599,TH
85,MV,[710],889,202,MY
86,STN,[670],707,470,HY
87,SSp-bfd5,[242],53,1070,Isocortex
88,TR3,[450],387,1142,OLF
89,SPVOvl,[722],848,69,MY
90,RSPd2/3,[308],275,434,Isocortex
91,RSPv2/3,"[231, 309]",283,430,Isocortex
92,CA2sp,[470],399,446,HPF
93,PL5,[53],212,363,Isocortex
94,IA,[610],521,1105,STR
95,SIMmo,[774],951,10674,CBX
96,GU6a,[113],103,638,Isocortex
97,MSC,[613],538,904,PAL
98,PAA3,[431],382,424,OLF
99,ENTl6a,[508],439,28,HPF
100,SSp-n5,[153],46,702,Isocortex
101,ORBl1,[14],229,448,Isocortex
102,RSPd1,[282],274,442,Isocortex
103,VISal1,[285],149,1074,Isocortex
104,AONm,[387],328,191,OLF
105,LSc,[581],509,250,STR
106,ILA6a,[65],220,1054,Isocortex
107,ACB,[603],498,56,STR
108,MY-mot,[712],850,370,MY
109,ORBvl1,[16],242,969,Isocortex
110,SPFp,[659],575,422,TH
111,PTLp6a,[374],292,308,Isocortex
112,ACAv6a,[87],206,810,Isocortex
113,PF,[631],616,930,TH
114,AON1,"[383, 385]",330,160,OLF
115,MOs6a,"[67, 134, 215]",26,1021,Isocortex
116,AId1,"[10, 92]",249,996,Isocortex
117,PERI1,"[218, 279]",304,540,Isocortex
118,AUDd2/3,"[171, 301]",115,600,Isocortex
119,SSp-m1,[140],64,878,Isocortex
120,RSPd5,"[224, 350]",277,610,Isocortex
121,PL2/3,[35],211,304,Isocortex
122,MOs1,"[13, 131, 212]",23,656,Isocortex
123,CA1slm,"[458, 510]",392,391,HPF
124,AUDp2/3,"[181, 302]",122,251,Isocortex
125,MOp1,"[12, 123, 205]",17,320,Isocortex
126,CENT2gr,[736],911,10708,CBX
127,ILA5,[47],219,827,Isocortex
128,PTLp1,[280],288,532,Isocortex
